gait_cycle,time,Z_rot,X_rot,Y_rot,Z
0,0,-15.15330887,2.743839808,-9.030808257,0
1,0.0075,-14.89675323,2.814101564,-9.095044333,-0.001606937
2,0.015,-14.59161804,2.884375403,-9.179337822,-0.003699783
3,0.0225,-14.24581507,2.951882773,-9.277266517,-0.006279754
4,0.03,-13.86473863,3.012313083,-9.382315323,-0.009350089
5,0.0375,-13.45070911,3.060879567,-9.488277232,-0.012911367
6,0.045,-13.00387266,3.094311642,-9.589435587,-0.016957047
7,0.0525,-12.52463183,3.113244629,-9.681604013,-0.021467776
8,0.06,-12.01617232,3.123071005,-9.764416052,-0.026404222
9,0.0675,-11.48391061,3.133663597,-9.843641535,-0.031700157
10,0.075,-10.93252251,3.157257008,-9.932553421,-0.037257716
11,0.0825,-10.36339965,3.203634068,-10.05193776,-0.04294711
12,0.09,-9.774350019,3.273740598,-10.22454203,-0.048624014
13,0.0975,-9.160547921,3.357305386,-10.46451033,-0.054162154
14,0.105,-8.518014277,3.438391791,-10.76916302,-0.059470148
15,0.1125,-7.848142101,3.50535784,-11.1216985,-0.064471298
16,0.12,-7.158282678,3.556527113,-11.50099201,-0.06907019
17,0.1275,-6.456519613,3.597403036,-11.88756441,-0.073143404
18,0.135,-5.745455148,3.631121071,-12.26365745,-0.076568034
19,0.1425,-5.020590134,3.652339132,-12.6111515,-0.079262072
20,0.15,-4.273200996,3.650786035,-12.91378935,-0.081195167
21,0.1575,-3.49349277,3.618381446,-13.16276401,-0.082364388
22,0.165,-2.675139597,3.553556485,-13.35548927,-0.082769484
23,0.1725,-1.81774382,3.462062911,-13.48966409,-0.08241883
24,0.18,-0.924755422,3.353952447,-13.56209406,-0.081338524
25,0.1875,0.000321475,3.237572455,-13.57258302,-0.079571463
26,0.195,0.956344343,3.114192806,-13.52540455,-0.077173048
27,0.2025,1.942974079,2.977232139,-13.42737784,-0.074204563
28,0.21,2.957164323,2.81719942,-13.28543228,-0.070728761
29,0.2175,3.990734212,2.62802696,-13.10535573,-0.066806515
30,0.225,5.031131656,2.409489053,-12.8921213,-0.06249836
31,0.2325,6.065124448,2.166058482,-12.65069082,-0.057868236
32,0.24,7.081192994,1.904667399,-12.38630411,-0.052985896
33,0.2475,8.069499802,1.632964879,-12.10423872,-0.047926381
34,0.255,9.020729517,1.357934097,-11.80965532,-0.042768963
35,0.2625,9.926234297,1.08548321,-11.50789335,-0.037594732
36,0.27,10.77863881,0.820890977,-11.20469324,-0.03248193
37,0.2775,11.57120828,0.569080707,-10.90605215,-0.027505486
38,0.285,12.29751128,0.334518057,-10.61757043,-0.022735628
39,0.2925,12.95188935,0.120837916,-10.34369704,-0.018240151
40,0.3,13.53051771,-0.069425273,-10.08778753,-0.014081283
41,0.3075,14.03200598,-0.23529927,-9.852609501,-0.010316202
42,0.315,14.45577838,-0.376945764,-9.640394259,-0.006995893
43,0.3225,14.80034665,-0.49486993,-9.452407769,-0.004164351
